area_ha,count,defo_m2,farm_id,label,total_m2,defo_pct
0.82,82,0.0,155,1,8053.361085151223,0.0
0.6,60,0.0,156,1,5881.999175486846,0.0
0.72,72,0.0,157,1,7065.782905339259,0.0
2.42,242,0.0,158,1,23741.63100373509,0.0
0.51,51,0.0,159,1,4998.491320112641,0.0
4.68,468,0.0,160,1,45942.97889431223,0.0
64.64,6464,0.0,161,1,634402.6534151558,0.0
0.73,73,0.0,162,1,7164.001459488214,0.0
2.45,245,0.0,163,1,24044.798135705085,0.0
4.58,458,0.0,164,1,44934.4221869076,0.0
0.97,97,0.0,165,1,9518.879645164343,0.0
1.14,114,0.0,166,1,11189.54223716586,0.0
0.5,50,0.0,167,1,4900.838524762321,0.0
0.53,53,0.0,168,1,5202.198165384928,0.0
2.0,200,0.0,169,1,19632.944436884864,0.0
0.5,50,0.0,170,1,4908.280264491658,0.0
0.71,71,0.0,171,1,6972.359485850617,0.0
4.81,481,0.0,172,1,47238.07074632832,0.0
0.58,58,0.0,173,1,5691.187470559511,0.0
3.33,333,0.0,174,1,32674.1488253425,0.0
2.34,234,0.0,175,1,22954.725646823048,0.0
15.91,1591,0.0,176,1,156137.3969185022,0.0
8.71,871,0.0,177,1,85562.79697304516,0.0
1.04,104,0.0,178,1,10197.669182242593,0.0
4.61,461,0.0,179,1,45259.90821937109,0.0
0.95,95,0.0,180,1,9326.825519516886,0.0
5.77,577,0.0,181,1,56664.40659781065,0.0
1.85,185,0.0,182,1,18150.051036879595,0.0
1.69,169,0.0,183,1,16585.642579890235,0.0
0.78,78,0.0,184,1,7651.88440578685,0.0
0.57,57,0.0,185,1,5595.829425407861,0.0
1.07,107,0.0,186,1,10501.82951432771,0.0
0.54,54,0.0,187,1,5296.156381554699,0.0
3.54,354,0.0,188,1,34772.687694684195,0.0
1.04,104,0.0,189,1,10203.92028566249,0.0
27.83,2783,0.0,190,1,273148.29830038006,0.0
0.55,55,0.0,191,1,5392.783198367848,0.0
2.62,262,0.0,192,1,25730.778340777222,0.0
0.72,72,0.0,193,1,7062.960347762759,0.0
0.57,57,0.0,194,1,5595.858694607604,0.0
8.61,861,0.0,195,1,84550.30393601953,0.0
0.71,71,0.0,196,1,6961.053025877712,0.0
1.73,173,0.0,197,1,16981.115149284826,0.0
2.13,213,0.0,198,1,20912.60428768981,0.0
1.39,139,0.0,199,1,13643.130797621783,0.0
0.67,67,0.0,200,1,6571.228593384985,0.0
0.51,51,0.0,201,1,5000.716272959991,0.0
0.88,88,0.0,202,1,8639.292816820329,0.0
2.61,261,4422.28889465332,203,1,25634.642021089443,17.251
0.5,50,0.0,204,1,4903.071928136489,0.0
2.46,246,0.0,205,1,24114.952208216055,0.0
8.0,800,0.0,206,1,78535.51595949657,0.0
0.57,57,0.0,207,1,5596.704727023255,0.0
0.53,53,0.0,208,1,5199.251582815132,0.0
1.31,131,0.0,209,1,12859.483573823818,0.0
19.54,1954,0.0,210,1,191854.3950294345,0.0
0.57,57,0.0,211,1,5591.733171171301,0.0
1.0,100,0.0,212,1,9809.579604593913,0.0
1.54,154,0.0,213,1,15108.024414421521,0.0
1.27,127,0.0,214,1,12458.722898176604,0.0
0.53,53,0.0,215,1,5200.423134418565,0.0
0.72,72,0.0,216,1,7064.681686341528,0.0
0.54,54,0.0,217,1,5297.0220128676465,0.0
0.8,80,0.0,218,1,7850.6448237699615,0.0
2.99,299,0.0,219,1,29340.522679317703,0.0
0.77,77,0.0,220,1,7558.879361949246,0.0
1.78,178,0.0,221,1,17460.781878512516,0.0
1.22,122,0.0,222,1,11960.094206477148,0.0
0.95,95,0.0,223,1,9312.324543193747,0.0
0.54,54,0.0,224,1,5296.238198912377,0.0
5.9,590,0.0,225,1,57876.21655165731,0.0
5.58,558,0.0,226,1,54789.71161675544,0.0
5.62,562,0.0,227,1,55193.49245704199,0.0
1.19,119,0.0,228,1,11687.288511687639,0.0
1.96,196,0.0,229,1,19239.92688338334,0.0
0.65,65,0.0,230,1,6381.981072549259,0.0
3.34,334,0.0,231,1,32787.326693935036,0.0
1.87,187,0.0,232,1,18359.187472863297,0.0
1.24,124,0.0,233,1,12169.014372522692,0.0
1.11,111,0.0,234,1,10889.306470624137,0.0
0.92,92,0.0,235,1,9026.463662719729,0.0
1.31,131,0.0,236,1,12862.27849252738,0.0
1.15,115,0.0,237,1,11274.05876105813,0.0
2.79,279,0.0,238,1,27369.29930680219,0.0
1.58,158,0.0,239,1,15498.866195678705,0.0
0.97,97,0.0,240,1,9518.029376789169,0.0
0.68,68,0.0,241,1,6674.064781877103,0.0
0.76,76,0.0,242,1,7463.3247965195615,0.0
0.66,66,0.0,243,1,6471.044027350932,0.0
0.77,77,0.0,244,1,7561.886089848536,0.0
0.85,85,0.0,245,1,8335.391576579974,0.0
0.56,56,0.0,246,1,5496.251164933744,0.0
0.69,69,0.0,247,1,6774.248663090723,0.0
8.44,844,0.0,248,1,82870.61028995886,0.0
0.92,92,0.0,249,1,9031.920274562457,0.0
1.18,118,0.0,250,1,11577.662277849984,0.0
1.29,129,0.0,251,1,12653.97493166456,0.0
2.02,202,0.0,252,1,19829.00593967811,0.0
1.46,146,0.0,253,1,14339.54765254002,0.0
1.45,145,0.0,254,1,14227.0696140065,0.0
1.24,124,0.0,255,1,12165.91154091031,0.0
